exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
11,0,8,31,71,0,8946.938971,582.917429,231.805,231.805,20,50
11,0,8,33,5,0,7886.740098,3358.917262,48.4462,48.4462,20,50
11,0,8,54,30,0,14039.95209,8046.583581,131.2534,131.2534,20,50
11,0,8,10,61,1,8738.092755,192.6183207,81.941,148.9978,20,50
12,0,1,38,34,1,10329.00195,173.0408512,23.718,45.4888,20,50
12,0,1,4,2,1,983,188.9647947,4.824,18.8722,20,50
12,0,1,12,10,0,7503.281549,3520.462895,36.6166,36.6166,20,50
12,0,1,62,55,1,8287.002441,181.3401744,17.018,39.574,20,50
12,0,1,43,47,1,7482,141.4520402,14.807,36.6166,20,50
12,0,1,64,66,1,4218.001953,167.6952009,9.916,24.787,20,50
12,0,1,78,76,1,4121,167.9203068,9.849,30.7018,20,50
12,0,1,59,57,1,2988.001953,175.187911,7.705,21.8296,20,50
12,0,1,61,18,1,11579,182.2952232,23.048,54.361,20,50
12,0,1,35,39,1,1559,157.2048627,4.958,15.9148,20,50
13,0,1,37,76,0,5890.084238,4111.918066,39.574,39.574,20,50
13,0,1,8,24,1,5798.451724,195.794405,19.028,36.6166,20,50
13,0,1,60,69,1,11052.70029,168.2150531,43.014,63.2332,20,50
13,0,1,38,10,1,13017.30293,196.9751432,31.423,63.2332,20,50
13,0,1,21,1,1,5547.246278,177.429026,15.276,39.574,20,50
13,0,1,58,71,0,14392.71202,3940.616919,78.0202,78.0202,20,50
13,0,1,74,32,0,3986.474758,2739.289711,33.6592,33.6592,20,50
13,0,1,44,0,1,5966.615201,185.9616873,18.291,39.574,20,50
13,0,1,71,16,1,3635.097228,185.2741919,12.06,33.6592,20,50
13,0,1,14,24,1,9243.393276,183.5989403,29.547,51.4036,20,50
14,0,1,19,66,1,13725.40311,183.2454798,123.079,225.8902,20,50
14,0,1,79,14,0,14827.70464,14564.26366,181.5292,181.5292,20,50
14,0,1,19,57,0,8244.995678,21032.09058,264.3364,264.3364,20,50
14,0,1,23,1,1,9135.900163,194.4735165,28.743,54.361,20,50
14,0,1,53,76,0,5457.223094,14799.49243,137.1682,137.1682,20,50
14,0,1,42,13,1,5522.653478,192.3259951,65.459,95.7646,20,50
14,0,1,31,71,0,8946.938971,20369.48304,231.805,231.805,20,50
14,0,1,33,5,0,7886.740098,3256.347582,48.4462,48.4462,20,50
14,0,1,54,30,0,14039.95209,5967.786012,131.2534,131.2534,20,50
14,0,1,10,61,0,8738.092755,6045.809597,148.9978,148.9978,20,50
15,0,3,38,34,1,10329.00195,188.6671488,24.656,45.4888,20,50
15,0,3,4,2,1,983,177.9474151,4.69,18.8722,20,50
15,0,3,12,10,0,7503.281549,3586.386024,36.6166,36.6166,20,50
15,0,3,62,55,1,8287.002441,179.7493909,17.018,39.574,20,50
15,0,3,43,47,1,7482,166.6679576,12.529,36.6166,20,50
15,0,3,64,66,1,4218.001953,191.6210035,9.916,24.787,20,50
15,0,3,78,76,1,4121,181.0796467,10.854,30.7018,20,50
15,0,3,59,57,1,2988.001953,183.1454656,17.286,21.8296,20,50
15,0,3,61,18,1,11579,195.4675216,23.048,54.361,20,50
15,0,3,35,39,1,1559,188.2593439,5.159,15.9148,20,50
16,0,3,37,76,0,5890.084238,5176.167565,39.574,39.574,20,50
16,0,3,8,24,1,5798.451724,199.1005904,19.028,36.6166,20,50
16,0,3,60,69,1,11052.70029,173.9516561,33.768,63.2332,20,50
16,0,3,38,10,0,13017.30293,1354.868473,63.2332,63.2332,20,50
16,0,3,21,1,1,5547.246278,177.199322,16.683,39.574,20,50
16,0,3,58,71,1,14392.71202,169.9228896,32.495,78.0202,20,50
16,0,3,74,32,0,3986.474758,3986.482811,33.6592,33.6592,20,50
16,0,3,44,0,1,5966.615201,172.9344031,15.075,39.574,20,50
16,0,3,71,16,1,3635.097228,168.7089466,10.72,33.6592,20,50
16,0,3,14,24,1,9243.393276,183.5781932,29.547,51.4036,20,50
17,0,3,19,66,0,13725.40311,18345.27011,225.8902,225.8902,20,50
17,0,3,79,14,0,14827.70464,14605.82729,181.5292,181.5292,20,50
17,0,3,19,57,0,8244.995678,13189.01817,264.3364,264.3364,20,50
17,0,3,23,1,1,9135.900163,186.0320832,23.651,54.361,20,50
17,0,3,53,76,0,5457.223094,2986.068439,137.1682,137.1682,20,50
17,0,3,42,13,0,5522.653478,7449.1621,95.7646,95.7646,20,50
17,0,3,31,71,0,8946.938971,20966.76294,231.805,231.805,20,50
