exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
8,0,6,23,1,1,9135.900163,168.3066421,27.068,54.361,100,150,1,0.1,10
8,0,6,53,76,0,5457.223094,15713.32999,137.1682,137.1682,100,150,1,0.1,10
9,0,8,38,34,1,10329.00195,155.3150874,24.589,45.4888,100,150,1,0.1,10
9,0,8,4,2,1,983,175.0805082,4.623,18.8722,100,150,1,0.1,10
9,0,8,12,10,0,7503.281549,7503.283569,36.6166,36.6166,100,150,1,0.1,10
9,0,8,62,55,1,8287.002441,149.1593616,14.003,39.574,100,150,1,0.1,10
9,0,8,43,47,1,7482,162.6605913,16.482,36.6166,100,150,1,0.1,10
10,0,8,37,76,1,5890.084238,183.227533,16.549,39.574,100,150,1,0.1,10
10,0,8,8,24,0,5798.451724,5798.45802,36.6166,36.6166,100,150,1,0.1,10
10,0,8,60,69,1,11052.70029,190.5283976,27.001,63.2332,100,150,1,0.1,10
10,0,8,38,10,0,13017.30293,13017.30134,63.2332,63.2332,100,150,1,0.1,10
10,0,8,21,1,0,5547.246278,4086.240624,39.574,39.574,100,150,1,0.1,10
11,0,8,19,66,0,13725.40311,17648.43088,225.8902,225.8902,100,150,1,0.1,10
11,0,8,79,14,0,14827.70464,14604.77396,181.5292,181.5292,100,150,1,0.1,10
11,0,8,19,57,0,8244.995678,9247.884639,264.3364,264.3364,100,150,1,0.1,10
11,0,8,23,1,0,9135.900163,1723.726113,54.361,54.361,100,150,1,0.1,10
11,0,8,53,76,0,5457.223094,12897.98677,137.1682,137.1682,100,150,1,0.1,10
0,0,1,38,34,1,10329.00195,183.6008245,22.311,45.4888,100,150,1,0.1,20
0,0,1,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,20
0,0,1,12,10,0,7503.281549,7503.285582,36.6166,36.6166,100,150,1,0.1,20
0,0,1,62,55,1,8287.002441,176.1666753,15.41,39.574,100,150,1,0.1,20
0,0,1,43,47,1,7482,142.8108318,15.276,36.6166,100,150,1,0.1,20
1,0,1,37,76,0,5890.084238,4110.105636,39.574,39.574,100,150,1,0.1,20
1,0,1,8,24,0,5798.451724,3786.916269,36.6166,36.6166,100,150,1,0.1,20
1,0,1,60,69,0,11052.70029,2635.903067,63.2332,63.2332,100,150,1,0.1,20
1,0,1,38,10,0,13017.30293,7079.767796,63.2332,63.2332,100,150,1,0.1,20
1,0,1,21,1,0,5547.246278,4471.073833,39.574,39.574,100,150,1,0.1,20
2,0,1,19,66,0,13725.40311,16542.49202,225.8902,225.8902,100,150,1,0.1,20
2,0,1,79,14,0,14827.70464,14856.1329,181.5292,181.5292,100,150,1,0.1,20
2,0,1,19,57,0,8244.995678,9267.426172,264.3364,264.3364,100,150,1,0.1,20
2,0,1,23,1,0,9135.900163,4065.810244,54.361,54.361,100,150,1,0.1,20
2,0,1,53,76,0,5457.223094,15202.21838,137.1682,137.1682,100,150,1,0.1,20
3,0,3,38,34,1,10329.00195,180.7456197,19.43,45.4888,100,150,1,0.1,20
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,20
3,0,3,12,10,0,7503.281549,7503.283561,36.6166,36.6166,100,150,1,0.1,20
3,0,3,62,55,1,8287.002441,181.1963901,17.956,39.574,100,150,1,0.1,20
3,0,3,43,47,0,7482,4773.564216,36.6166,36.6166,100,150,1,0.1,20
4,0,3,37,76,0,5890.084238,4561.324879,39.574,39.574,100,150,1,0.1,20
4,0,3,8,24,1,5798.451724,179.1660858,23.852,36.6166,100,150,1,0.1,20
4,0,3,60,69,0,11052.70029,3006.220386,63.2332,63.2332,100,150,1,0.1,20
4,0,3,38,10,0,13017.30293,1085.859604,63.2332,63.2332,100,150,1,0.1,20
4,0,3,21,1,0,5547.246278,3010.845648,39.574,39.574,100,150,1,0.1,20
5,0,3,19,66,0,13725.40311,16685.24832,225.8902,225.8902,100,150,1,0.1,20
5,0,3,79,14,0,14827.70464,14827.69488,181.5292,181.5292,100,150,1,0.1,20
5,0,3,19,57,0,8244.995678,9037.682103,264.3364,264.3364,100,150,1,0.1,20
5,0,3,23,1,0,9135.900163,5102.339016,54.361,54.361,100,150,1,0.1,20
5,0,3,53,76,0,5457.223094,11374.30859,137.1682,137.1682,100,150,1,0.1,20
6,0,6,38,34,0,10329.00195,4837.340913,45.4888,45.4888,100,150,1,0.1,20
6,0,6,4,2,1,983,189.2719092,4.087,18.8722,100,150,1,0.1,20
6,0,6,12,10,0,7503.281549,1459.444676,36.6166,36.6166,100,150,1,0.1,20
6,0,6,62,55,0,8287.002441,939.997411,39.574,39.574,100,150,1,0.1,20
6,0,6,43,47,1,7482,169.5269193,13.534,36.6166,100,150,1,0.1,20
7,0,6,37,76,0,5890.084238,5890.099972,39.574,39.574,100,150,1,0.1,20
7,0,6,8,24,0,5798.451724,5796.971182,36.6166,36.6166,100,150,1,0.1,20
7,0,6,60,69,0,11052.70029,2478.366377,63.2332,63.2332,100,150,1,0.1,20
7,0,6,38,10,0,13017.30293,8274.049135,63.2332,63.2332,100,150,1,0.1,20
7,0,6,21,1,0,5547.246278,5547.25419,39.574,39.574,100,150,1,0.1,20
