exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
7,0,6,37,76,0,5890.084238,5890.07994,39.574,39.574,100,150,1,0.1,20
7,0,6,8,24,0,5798.451724,4430.443896,36.6166,36.6166,100,150,1,0.1,20
7,0,6,60,69,0,11052.70029,2827.002815,63.2332,63.2332,100,150,1,0.1,20
7,0,6,38,10,1,13017.30293,168.3921757,23.316,63.2332,100,150,1,0.1,20
7,0,6,21,1,0,5547.246278,5547.174218,39.574,39.574,100,150,1,0.1,20
8,0,6,19,66,0,13725.40311,16779.86209,225.8902,225.8902,100,150,1,0.1,20
8,0,6,79,14,0,14827.70464,15663.20854,181.5292,181.5292,100,150,1,0.1,20
8,0,6,19,57,0,8244.995678,11023.11239,264.3364,264.3364,100,150,1,0.1,20
8,0,6,23,1,1,9135.900163,199.4610826,24.924,54.361,100,150,1,0.1,20
8,0,6,53,76,0,5457.223094,17381.20922,137.1682,137.1682,100,150,1,0.1,20
9,0,8,38,34,1,10329.00195,198.296659,29.346,45.4888,100,150,1,0.1,20
9,0,8,4,2,1,983,197.6581655,4.422,18.8722,100,150,1,0.1,20
9,0,8,12,10,0,7503.281549,7503.283561,36.6166,36.6166,100,150,1,0.1,20
9,0,8,62,55,1,8287.002441,175.3200252,17.085,39.574,100,150,1,0.1,20
9,0,8,43,47,1,7482,173.1726826,13.266,36.6166,100,150,1,0.1,20
10,0,8,37,76,0,5890.084238,1425.745199,39.574,39.574,100,150,1,0.1,20
10,0,8,8,24,0,5798.451724,5798.457623,36.6166,36.6166,100,150,1,0.1,20
10,0,8,60,69,0,11052.70029,4143.875509,63.2332,63.2332,100,150,1,0.1,20
10,0,8,38,10,0,13017.30293,13017.30041,63.2332,63.2332,100,150,1,0.1,20
10,0,8,21,1,0,5547.246278,3099.372403,39.574,39.574,100,150,1,0.1,20
11,0,8,19,66,0,13725.40311,24218.01665,225.8902,225.8902,100,150,1,0.1,20
11,0,8,79,14,0,14827.70464,8631.227191,181.5292,181.5292,100,150,1,0.1,20
11,0,8,19,57,0,8244.995678,9880.80901,264.3364,264.3364,100,150,1,0.1,20
11,0,8,23,1,0,9135.900163,4359.219178,54.361,54.361,100,150,1,0.1,20
11,0,8,53,76,0,5457.223094,14271.17492,137.1682,137.1682,100,150,1,0.1,20
0,0,1,38,34,1,10329.00195,192.6889403,23.517,45.4888,100,150,1,0.1,30
0,0,1,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,30
0,0,1,12,10,0,7503.281549,7503.281595,36.6166,36.6166,100,150,1,0.1,30
0,0,1,62,55,0,8287.002441,2158.157939,39.574,39.574,100,150,1,0.1,30
0,0,1,43,47,0,7482,2326.783586,36.6166,36.6166,100,150,1,0.1,30
1,0,1,37,76,0,5890.084238,4348.848201,39.574,39.574,100,150,1,0.1,30
1,0,1,8,24,1,5798.451724,191.094357,23.919,36.6166,100,150,1,0.1,30
1,0,1,60,69,0,11052.70029,2691.056519,63.2332,63.2332,100,150,1,0.1,30
1,0,1,38,10,1,13017.30293,194.2571161,31.825,63.2332,100,150,1,0.1,30
1,0,1,21,1,0,5547.246278,3277.215311,39.574,39.574,100,150,1,0.1,30
2,0,1,19,66,0,13725.40311,16498.40504,225.8902,225.8902,100,150,1,0.1,30
2,0,1,79,14,0,14827.70464,15146.39779,181.5292,181.5292,100,150,1,0.1,30
2,0,1,19,57,0,8244.995678,9057.47852,264.3364,264.3364,100,150,1,0.1,30
2,0,1,23,1,0,9135.900163,4241.103973,54.361,54.361,100,150,1,0.1,30
2,0,1,53,76,0,5457.223094,15357.51057,137.1682,137.1682,100,150,1,0.1,30
3,0,3,38,34,1,10329.00195,181.8212692,21.038,45.4888,100,150,1,0.1,30
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,30
3,0,3,12,10,0,7503.281549,7503.283569,36.6166,36.6166,100,150,1,0.1,30
3,0,3,62,55,1,8287.002441,193.668873,15.075,39.574,100,150,1,0.1,30
3,0,3,43,47,0,7482,2342.397962,36.6166,36.6166,100,150,1,0.1,30
4,0,3,37,76,0,5890.084238,3695.113802,39.574,39.574,100,150,1,0.1,30
4,0,3,8,24,0,5798.451724,5138.443728,36.6166,36.6166,100,150,1,0.1,30
4,0,3,60,69,0,11052.70029,5731.104575,63.2332,63.2332,100,150,1,0.1,30
4,0,3,38,10,0,13017.30293,1440.973883,63.2332,63.2332,100,150,1,0.1,30
4,0,3,21,1,0,5547.246278,3768.574388,39.574,39.574,100,150,1,0.1,30
5,0,3,19,66,0,13725.40311,16645.4955,225.8902,225.8902,100,150,1,0.1,30
5,0,3,79,14,0,14827.70464,14827.68694,181.5292,181.5292,100,150,1,0.1,30
5,0,3,19,57,0,8244.995678,9337.611029,264.3364,264.3364,100,150,1,0.1,30
5,0,3,23,1,0,9135.900163,1077.265159,54.361,54.361,100,150,1,0.1,30
5,0,3,53,76,0,5457.223094,14273.47972,137.1682,137.1682,100,150,1,0.1,30
6,0,6,38,34,0,10329.00195,5562.759438,45.4888,45.4888,100,150,1,0.1,30
6,0,6,4,2,1,983,166.9658175,4.623,18.8722,100,150,1,0.1,30
6,0,6,12,10,1,7503.281549,177.0327077,19.296,36.6166,100,150,1,0.1,30
6,0,6,62,55,1,8287.002441,181.4840363,14.338,39.574,100,150,1,0.1,30
6,0,6,43,47,1,7482,171.2657105,17.487,36.6166,100,150,1,0.1,30
7,0,6,37,76,0,5890.084238,5890.099972,39.574,39.574,100,150,1,0.1,30
7,0,6,8,24,0,5798.451724,4309.775116,36.6166,36.6166,100,150,1,0.1,30
7,0,6,60,69,0,11052.70029,3023.673927,63.2332,63.2332,100,150,1,0.1,30
7,0,6,38,10,0,13017.30293,4132.718236,63.2332,63.2332,100,150,1,0.1,30
7,0,6,21,1,0,5547.246278,4587.715243,39.574,39.574,100,150,1,0.1,30
8,0,6,19,66,0,13725.40311,16779.55872,225.8902,225.8902,100,150,1,0.1,30
8,0,6,79,14,0,14827.70464,17179.97803,181.5292,181.5292,100,150,1,0.1,30
8,0,6,19,57,0,8244.995678,9509.038033,264.3364,264.3364,100,150,1,0.1,30
8,0,6,23,1,0,9135.900163,5346.949865,54.361,54.361,100,150,1,0.1,30
8,0,6,53,76,0,5457.223094,15203.43414,137.1682,137.1682,100,150,1,0.1,30
9,0,8,38,34,1,10329.00195,185.3280079,27.738,45.4888,100,150,1,0.1,30
9,0,8,4,2,1,983,169.7267531,4.489,18.8722,100,150,1,0.1,30
9,0,8,12,10,0,7503.281549,7503.283553,36.6166,36.6166,100,150,1,0.1,30
9,0,8,62,55,1,8287.002441,183.930792,16.415,39.574,100,150,1,0.1,30
9,0,8,43,47,1,7482,192.9797277,11.725,36.6166,100,150,1,0.1,30
10,0,8,37,76,0,5890.084238,4398.638902,39.574,39.574,100,150,1,0.1,30
10,0,8,8,24,0,5798.451724,4065.649322,36.6166,36.6166,100,150,1,0.1,30
10,0,8,60,69,1,11052.70029,188.3826019,36.582,63.2332,100,150,1,0.1,30
10,0,8,38,10,0,13017.30293,13017.3039,63.2332,63.2332,100,150,1,0.1,30
10,0,8,21,1,0,5547.246278,4391.582304,39.574,39.574,100,150,1,0.1,30
11,0,8,19,66,0,13725.40311,16638.42554,225.8902,225.8902,100,150,1,0.1,30
11,0,8,79,14,0,14827.70464,14042.02125,181.5292,181.5292,100,150,1,0.1,30
11,0,8,19,57,0,8244.995678,13644.42009,264.3364,264.3364,100,150,1,0.1,30
11,0,8,23,1,1,9135.900163,182.1254345,29.145,54.361,100,150,1,0.1,30
11,0,8,53,76,0,5457.223094,14340.43317,137.1682,137.1682,100,150,1,0.1,30
